问题,选项A,选项B,选项C,分类,提示
樱木花道、流川枫和赤木刚宪中，谁最可能成为你的好朋友？,樱木花道,流川枫,赤木刚宪,动漫,
星期一必须有人陪，你会在樱木花道、流川枫和赤木刚宪中选谁？,樱木花道,流川枫,赤木刚宪,动漫,
樱木花道、流川枫和赤木刚宪中，谁最适合当你的超强队友？,樱木花道,流川枫,赤木刚宪,动漫,
千寻、苏菲和琪琪中，谁最适合当你的旅行伙伴？,千寻,苏菲,琪琪,动漫,
千寻、苏菲和琪琪中，谁最适合当派对主持人？,千寻,苏菲,琪琪,动漫,
千寻、苏菲和琪琪中，谁最可能成为你的好朋友？,千寻,苏菲,琪琪,动漫,
星期一必须有人陪，你会在千寻、苏菲和琪琪中选谁？,千寻,苏菲,琪琪,动漫,
千寻、苏菲和琪琪中，谁最适合当你的超强队友？,千寻,苏菲,琪琪,动漫,
海绵宝宝、派大星和章鱼哥中，谁最适合当你的旅行伙伴？,海绵宝宝,派大星,章鱼哥,动漫,
海绵宝宝、派大星和章鱼哥中，谁最适合当派对主持人？,海绵宝宝,派大星,章鱼哥,动漫,
海绵宝宝、派大星和章鱼哥中，谁最可能成为你的好朋友？,海绵宝宝,派大星,章鱼哥,动漫,
星期一必须有人陪，你会在海绵宝宝、派大星和章鱼哥中选谁？,海绵宝宝,派大星,章鱼哥,动漫,
海绵宝宝、派大星和章鱼哥中，谁最适合当你的超强队友？,海绵宝宝,派大星,章鱼哥,动漫,
汤姆、杰利和史努比中，谁最适合当你的旅行伙伴？,汤姆,杰利,史努比,动漫,
汤姆、杰利和史努比中，谁最适合当派对主持人？,汤姆,杰利,史努比,动漫,
汤姆、杰利和史努比中，谁最可能成为你的好朋友？,汤姆,杰利,史努比,动漫,
星期一必须有人陪，你会在汤姆、杰利和史努比中选谁？,汤姆,杰利,史努比,动漫,
汤姆、杰利和史努比中，谁最适合当你的超强队友？,汤姆,杰利,史努比,动漫,
阿拉蕾、小叮当和蜡笔小新中，谁最适合当你的旅行伙伴？,阿拉蕾,小叮当,蜡笔小新,动漫,
阿拉蕾、小叮当和蜡笔小新中，谁最适合当派对主持人？,阿拉蕾,小叮当,蜡笔小新,动漫,
阿拉蕾、小叮当和蜡笔小新中，谁最可能成为你的好朋友？,阿拉蕾,小叮当,蜡笔小新,动漫,
星期一必须有人陪，你会在阿拉蕾、小叮当和蜡笔小新中选谁？,阿拉蕾,小叮当,蜡笔小新,动漫,
阿拉蕾、小叮当和蜡笔小新中，谁最适合当你的超强队友？,阿拉蕾,小叮当,蜡笔小新,动漫,
神乐、银时和土方十四郎中，谁最适合当你的旅行伙伴？,神乐,银时,土方十四郎,动漫,
神乐、银时和土方十四郎中，谁最适合当派对主持人？,神乐,银时,土方十四郎,动漫,
神乐、银时和土方十四郎中，谁最可能成为你的好朋友？,神乐,银时,土方十四郎,动漫,
星期一必须有人陪，你会在神乐、银时和土方十四郎中选谁？,神乐,银时,土方十四郎,动漫,
神乐、银时和土方十四郎中，谁最适合当你的超强队友？,神乐,银时,土方十四郎,动漫,
安妮亚、洛伊德和约儿中，谁最适合当你的旅行伙伴？,安妮亚,洛伊德,约儿,动漫,
安妮亚、洛伊德和约儿中，谁最适合当派对主持人？,安妮亚,洛伊德,约儿,动漫,
安妮亚、洛伊德和约儿中，谁最可能成为你的好朋友？,安妮亚,洛伊德,约儿,动漫,
星期一必须有人陪，你会在安妮亚、洛伊德和约儿中选谁？,安妮亚,洛伊德,约儿,动漫,
安妮亚、洛伊德和约儿中，谁最适合当你的超强队友？,安妮亚,洛伊德,约儿,动漫,
米老鼠、唐老鸭和布鲁托中，谁最适合当你的旅行伙伴？,米老鼠,唐老鸭,布鲁托,动漫,
米老鼠、唐老鸭和布鲁托中，谁最适合当派对主持人？,米老鼠,唐老鸭,布鲁托,动漫,
米老鼠、唐老鸭和布鲁托中，谁最可能成为你的好朋友？,米老鼠,唐老鸭,布鲁托,动漫,
星期一必须有人陪，你会在米老鼠、唐老鸭和布鲁托中选谁？,米老鼠,唐老鸭,布鲁托,动漫,
米老鼠、唐老鸭和布鲁托中，谁最适合当你的超强队友？,米老鼠,唐老鸭,布鲁托,动漫,
艾莎、莫阿娜和小美人鱼中，谁最适合陪你露营？,艾莎,莫阿娜,小美人鱼,电影,
遇到麻烦时，你最想找艾莎、莫阿娜还是小美人鱼？,艾莎,莫阿娜,小美人鱼,电影,
艾莎、莫阿娜和小美人鱼中，谁最适合当你的邻居？,艾莎,莫阿娜,小美人鱼,电影,
看午夜场时，你最想约艾莎、莫阿娜还是小美人鱼？,艾莎,莫阿娜,小美人鱼,电影,
艾莎、莫阿娜和小美人鱼中，谁最可能成为聚会焦点？,艾莎,莫阿娜,小美人鱼,电影,
巴斯光年、胡迪和瓦力中，谁最适合陪你露营？,巴斯光年,胡迪,瓦力,电影,
遇到麻烦时，你最想找巴斯光年、胡迪还是瓦力？,巴斯光年,胡迪,瓦力,电影,
巴斯光年、胡迪和瓦力中，谁最适合当你的邻居？,巴斯光年,胡迪,瓦力,电影,
看午夜场时，你最想约巴斯光年、胡迪还是瓦力？,巴斯光年,胡迪,瓦力,电影,
巴斯光年、胡迪和瓦力中，谁最可能成为聚会焦点？,巴斯光年,胡迪,瓦力,电影,
哈利波特、妙丽和荣恩中，谁最适合陪你露营？,哈利波特,妙丽,荣恩,电影,
遇到麻烦时，你最想找哈利波特、妙丽还是荣恩？,哈利波特,妙丽,荣恩,电影,
哈利波特、妙丽和荣恩中，谁最适合当你的邻居？,哈利波特,妙丽,荣恩,电影,
看午夜场时，你最想约哈利波特、妙丽还是荣恩？,哈利波特,妙丽,荣恩,电影,
哈利波特、妙丽和荣恩中，谁最可能成为聚会焦点？,哈利波特,妙丽,荣恩,电影,
甘道夫、邓不利多和尤达大师中，谁最适合陪你露营？,甘道夫,邓不利多,尤达大师,电影,
遇到麻烦时，你最想找甘道夫、邓不利多还是尤达大师？,甘道夫,邓不利多,尤达大师,电影,
甘道夫、邓不利多和尤达大师中，谁最适合当你的邻居？,甘道夫,邓不利多,尤达大师,电影,
看午夜场时，你最想约甘道夫、邓不利多还是尤达大师？,甘道夫,邓不利多,尤达大师,电影,
甘道夫、邓不利多和尤达大师中，谁最可能成为聚会焦点？,甘道夫,邓不利多,尤达大师,电影,
蜘蛛人、蝙蝠侠和超人中，谁最适合陪你露营？,蜘蛛人,蝙蝠侠,超人,电影,
遇到麻烦时，你最想找蜘蛛人、蝙蝠侠还是超人？,蜘蛛人,蝙蝠侠,超人,电影,
蜘蛛人、蝙蝠侠和超人中，谁最适合当你的邻居？,蜘蛛人,蝙蝠侠,超人,电影,
看午夜场时，你最想约蜘蛛人、蝙蝠侠还是超人？,蜘蛛人,蝙蝠侠,超人,电影,
蜘蛛人、蝙蝠侠和超人中，谁最可能成为聚会焦点？,蜘蛛人,蝙蝠侠,超人,电影,
钢铁人、美国队长和雷神索尔中，谁最适合陪你露营？,钢铁人,美国队长,雷神索尔,电影,
遇到麻烦时，你最想找钢铁人、美国队长还是雷神索尔？,钢铁人,美国队长,雷神索尔,电影,
钢铁人、美国队长和雷神索尔中，谁最适合当你的邻居？,钢铁人,美国队长,雷神索尔,电影,
看午夜场时，你最想约钢铁人、美国队长还是雷神索尔？,钢铁人,美国队长,雷神索尔,电影,
钢铁人、美国队长和雷神索尔中，谁最可能成为聚会焦点？,钢铁人,美国队长,雷神索尔,电影,
木法沙、辛巴和丁满中，谁最适合陪你露营？,木法沙,辛巴,丁满,电影,
遇到麻烦时，你最想找木法沙、辛巴还是丁满？,木法沙,辛巴,丁满,电影,
木法沙、辛巴和丁满中，谁最适合当你的邻居？,木法沙,辛巴,丁满,电影,
看午夜场时，你最想约木法沙、辛巴还是丁满？,木法沙,辛巴,丁满,电影,
木法沙、辛巴和丁满中，谁最可能成为聚会焦点？,木法沙,辛巴,丁满,电影,
杰克·史派罗、印第安纳·琼斯和福尔摩斯中，谁最适合陪你露营？,杰克·史派罗,印第安纳·琼斯,福尔摩斯,电影,
遇到麻烦时，你最想找杰克·史派罗、印第安纳·琼斯还是福尔摩斯？,杰克·史派罗,印第安纳·琼斯,福尔摩斯,电影,
杰克·史派罗、印第安纳·琼斯和福尔摩斯中，谁最适合当你的邻居？,杰克·史派罗,印第安纳·琼斯,福尔摩斯,电影,
看午夜场时，你最想约杰克·史派罗、印第安纳·琼斯还是福尔摩斯？,杰克·史派罗,印第安纳·琼斯,福尔摩斯,电影,
杰克·史派罗、印第安纳·琼斯和福尔摩斯中，谁最可能成为聚会焦点？,杰克·史派罗,印第安纳·琼斯,福尔摩斯,电影,
Neo、Trinity和Morpheus中，谁最适合陪你露营？,Neo,Trinity,Morpheus,电影,
遇到麻烦时，你最想找Neo、Trinity还是Morpheus？,Neo,Trinity,Morpheus,电影,
Neo、Trinity和Morpheus中，谁最适合当你的邻居？,Neo,Trinity,Morpheus,电影,
看午夜场时，你最想约Neo、Trinity还是Morpheus？,Neo,Trinity,Morpheus,电影,
Neo、Trinity和Morpheus中，谁最可能成为聚会焦点？,Neo,Trinity,Morpheus,电影,
小丑、死侍和谜语人中，谁最适合陪你露营？,小丑,死侍,谜语人,电影,
遇到麻烦时，你最想找小丑、死侍还是谜语人？,小丑,死侍,谜语人,电影,
小丑、死侍和谜语人中，谁最适合当你的邻居？,小丑,死侍,谜语人,电影,
看午夜场时，你最想约小丑、死侍还是谜语人？,小丑,死侍,谜语人,电影,
小丑、死侍和谜语人中，谁最可能成为聚会焦点？,小丑,死侍,谜语人,电影,
阿甘、洛奇和骇客任务主角中，谁最适合陪你露营？,阿甘,洛奇,骇客任务主角,电影,
遇到麻烦时，你最想找阿甘、洛奇还是骇客任务主角？,阿甘,洛奇,骇客任务主角,电影,
阿甘、洛奇和骇客任务主角中，谁最适合当你的邻居？,阿甘,洛奇,骇客任务主角,电影,
看午夜场时，你最想约阿甘、洛奇还是骇客任务主角？,阿甘,洛奇,骇客任务主角,电影,
阿甘、洛奇和骇客任务主角中，谁最可能成为聚会焦点？,阿甘,洛奇,骇客任务主角,电影,
星爵、雷神索尔和奇异博士中，谁最适合陪你露营？,星爵,雷神索尔,奇异博士,电影,
遇到麻烦时，你最想找星爵、雷神索尔还是奇异博士？,星爵,雷神索尔,奇异博士,电影,
星爵、雷神索尔和奇异博士中，谁最适合当你的邻居？,星爵,雷神索尔,奇异博士,电影,
看午夜场时，你最想约星爵、雷神索尔还是奇异博士？,星爵,雷神索尔,奇异博士,电影,
星爵、雷神索尔和奇异博士中，谁最可能成为聚会焦点？,星爵,雷神索尔,奇异博士,电影,
艾蜜莉、米格和胡安中，谁最适合陪你露营？,艾蜜莉,米格,胡安,电影,
遇到麻烦时，你最想找艾蜜莉、米格还是胡安？,艾蜜莉,米格,胡安,电影,
艾蜜莉、米格和胡安中，谁最适合当你的邻居？,艾蜜莉,米格,胡安,电影,
看午夜场时，你最想约艾蜜莉、米格还是胡安？,艾蜜莉,米格,胡安,电影,
艾蜜莉、米格和胡安中，谁最可能成为聚会焦点？,艾蜜莉,米格,胡安,电影,
龙猫、史瑞克和功夫熊猫中，谁最适合陪你露营？,龙猫,史瑞克,功夫熊猫,电影,
遇到麻烦时，你最想找龙猫、史瑞克还是功夫熊猫？,龙猫,史瑞克,功夫熊猫,电影,
龙猫、史瑞克和功夫熊猫中，谁最适合当你的邻居？,龙猫,史瑞克,功夫熊猫,电影,
看午夜场时，你最想约龙猫、史瑞克还是功夫熊猫？,龙猫,史瑞克,功夫熊猫,电影,
龙猫、史瑞克和功夫熊猫中，谁最可能成为聚会焦点？,龙猫,史瑞克,功夫熊猫,电影,
如果我住进哆啦A梦的世界，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让哆啦A梦的世界替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在哆啦A梦的世界带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在哆啦A梦的世界生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进霍格华兹，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让霍格华兹替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在霍格华兹带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在霍格华兹生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进皮克斯电影里，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让皮克斯电影里替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在皮克斯电影里带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在皮克斯电影里生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进超级英雄基地，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让超级英雄基地替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在超级英雄基地带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在超级英雄基地生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进海贼王的船上，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让海贼王的船上替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在海贼王的船上带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在海贼王的船上生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进宝可梦世界，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让宝可梦世界替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在宝可梦世界带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在宝可梦世界生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进银河铁道，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让银河铁道替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在银河铁道带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在银河铁道生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进童话森林，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让童话森林替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在童话森林带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在童话森林生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进未来城市，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让未来城市替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在未来城市带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在未来城市生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进外星人的太空站，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让外星人的太空站替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在外星人的太空站带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在外星人的太空站生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进魔法学院，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让魔法学院替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在魔法学院带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在魔法学院生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进会飞的城堡，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让会飞的城堡替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在会飞的城堡带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在会飞的城堡生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进深海王国，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让深海王国替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在深海王国带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在深海王国生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进时间旅行者的家，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让时间旅行者的家替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在时间旅行者的家带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在时间旅行者的家生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进一座漂浮的岛，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让一座漂浮的岛替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在一座漂浮的岛带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在一座漂浮的岛生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进末日后的便利商店，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让末日后的便利商店替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在末日后的便利商店带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在末日后的便利商店生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进全是猫的城市，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让全是猫的城市替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在全是猫的城市带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在全是猫的城市生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进没有网络的世界，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让没有网络的世界替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在没有网络的世界带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在没有网络的世界生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进只有夜晚的城市，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让只有夜晚的城市替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在只有夜晚的城市带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在只有夜晚的城市生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进巨人住的村庄，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让巨人住的村庄替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在巨人住的村庄带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在巨人住的村庄生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进可以说话的博物馆，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让可以说话的博物馆替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在可以说话的博物馆带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在可以说话的博物馆生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进住在云上的小镇，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让住在云上的小镇替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在住在云上的小镇带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在住在云上的小镇生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进会移动的图书馆，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让会移动的图书馆替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在会移动的图书馆带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在会移动的图书馆生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进所有东西都缩小的世界，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让所有东西都缩小的世界替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在所有东西都缩小的世界带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在所有东西都缩小的世界生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进梦境电影院，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让梦境电影院替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在梦境电影院带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在梦境电影院生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进机器人开的餐厅，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让机器人开的餐厅替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在机器人开的餐厅带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在机器人开的餐厅生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进每人都有超能力的学校，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让每人都有超能力的学校替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在每人都有超能力的学校带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在每人都有超能力的学校生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进四季同时存在的公园，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让四季同时存在的公园替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在四季同时存在的公园带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在四季同时存在的公园生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进月球上的露营地，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让月球上的露营地替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在月球上的露营地带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在月球上的露营地生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进一艘时间邮轮，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让一艘时间邮轮替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在一艘时间邮轮带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在一艘时间邮轮生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进会自己整理的房子，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让会自己整理的房子替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在会自己整理的房子带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在会自己整理的房子生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进永远放晴的海岛，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让永远放晴的海岛替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在永远放晴的海岛带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在永远放晴的海岛生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进只能用交换生活的市集，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让只能用交换生活的市集替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在只能用交换生活的市集带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在只能用交换生活的市集生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进电影反派的办公室，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让电影反派的办公室替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在电影反派的办公室带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在电影反派的办公室生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
如果我住进动画片尾之后的世界，我第一件事会是 ______。,,,,脑洞,写下你第一个想到的答案
我最想让动画片尾之后的世界替我完成的事是 ______。,,,,脑洞,写下你第一个想到的答案
如果能在动画片尾之后的世界带走一样东西，我会带走 ______。,,,,脑洞,写下你第一个想到的答案
在动画片尾之后的世界生活一天，我最怕遇到 ______。,,,,脑洞,写下你第一个想到的答案
聊到人工智能管家，你更偏向？,负责做饭,负责打扫,,科技未来,
关于人工智能管家，如果只能选一个，你会选？,负责做饭,负责打扫,安排全部日程,科技未来,
第一次接触人工智能管家，大家最可能先选？,安排全部日程,负责做饭,负责打扫,科技未来,
说到人工智能管家，我还想加一个选项：______。,,,,科技未来,写下一个具体、第一时间想到的答案
如果今天就要体验火星定居，你会先选？,玻璃穹顶城市,地下生存基地,,科技未来,
给火星定居安排一个优先项，你会选？,玻璃穹顶城市,地下生存基地,移动探索房车,科技未来,
如果为火星定居投票，哪一个最可能获胜？,移动探索房车,玻璃穹顶城市,地下生存基地,科技未来,
如果由我设计火星定居，最不能少的是 ______。,,,,科技未来,写下一个具体、第一时间想到的答案
在记忆备份这件事上，你更看重？,保存全部记忆,只保存快乐记忆,,科技未来,
如果大家一起体验记忆备份，你最想负责哪一项？,保存全部记忆,只保存快乐记忆,完全不做备份,科技未来,
在记忆备份的三个选项中，哪个最受欢迎？,完全不做备份,保存全部记忆,只保存快乐记忆,科技未来,
体验记忆备份之前，我最想准备 ______。,,,,科技未来,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试未来交通，你会选？,飞行汽车,真空列车,,科技未来,
把未来交通变成周末活动，你最期待？,飞行汽车,真空列车,瞬间移动门,科技未来,
朋友临时提出未来交通，多数人会答应哪一个？,瞬间移动门,飞行汽车,真空列车,科技未来,
关于未来交通，我第一个想到的是 ______。,,,,科技未来,写下一个具体、第一时间想到的答案
关于虚拟现实旅行，哪一个更吸引你？,回到古代城市,探索外星世界,,科技未来,
讨论虚拟现实旅行时，哪一个最容易成为多数答案？,回到古代城市,探索外星世界,进入电影片场,科技未来,
只能把虚拟现实旅行的一项带走，你会带走？,进入电影片场,回到古代城市,探索外星世界,科技未来,
如果把虚拟现实旅行拍成电影，片名会是《______》。,,,,科技未来,写下一个具体、第一时间想到的答案
聊到机器人同事，你更偏向？,效率最高的,最会安慰人的,,科技未来,
关于机器人同事，如果只能选一个，你会选？,效率最高的,最会安慰人的,最有创意的,科技未来,
第一次接触机器人同事，大家最可能先选？,最有创意的,效率最高的,最会安慰人的,科技未来,
说到机器人同事，我还想加一个选项：______。,,,,科技未来,写下一个具体、第一时间想到的答案
如果今天就要体验智能冰箱，你会先选？,自动补充食物,每天推荐菜谱,,科技未来,
给智能冰箱安排一个优先项，你会选？,自动补充食物,每天推荐菜谱,阻止你吃夜宵,科技未来,
如果为智能冰箱投票，哪一个最可能获胜？,阻止你吃夜宵,自动补充食物,每天推荐菜谱,科技未来,
如果由我设计智能冰箱，最不能少的是 ______。,,,,科技未来,写下一个具体、第一时间想到的答案
在数字分身这件事上，你更看重？,替你参加会议,替你排队办事,,科技未来,
如果大家一起体验数字分身，你最想负责哪一项？,替你参加会议,替你排队办事,替你回复消息,科技未来,
在数字分身的三个选项中，哪个最受欢迎？,替你回复消息,替你参加会议,替你排队办事,科技未来,
体验数字分身之前，我最想准备 ______。,,,,科技未来,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试时间暂停器，你会选？,用来补觉,用来旅行,,科技未来,
把时间暂停器变成周末活动，你最期待？,用来补觉,用来旅行,用来赶完任务,科技未来,
朋友临时提出时间暂停器，多数人会答应哪一个？,用来赶完任务,用来补觉,用来旅行,科技未来,
关于时间暂停器，我第一个想到的是 ______。,,,,科技未来,写下一个具体、第一时间想到的答案
关于月球假期，哪一个更吸引你？,看地球升起,在月面露营,,科技未来,
